ident;noi;wpela16;chom_mens;cal0;couple;age;age2;duree_ss_emploi;pas_diplome;nbmois_cho;nbmois_sal;ass;sexe;moins_30;entre_30_50;entre_50_65;AG;chemin_ass;nbmoischo_ant
14000007;01;798.22459652;50.333333333;111111444444;0;26;676;2;0;6;5.4366300366;;1;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000011;02;439.5215262;1011.3333333;444444444444;1;56;3136;5;0;12;0;;1;0;0;1;56;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
14000011;03;439.5215262;754.375;411141444444;1;33;1089;2;1;8;4;;1;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
14000014;01;604.84410339;1091.2;334444444444;1;46;2116;2;1;10;2.2487179487;;1;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000015;01;557.78526861;777.2;441191111444;0;39;1521;3;1;5;6;0;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000026;01;572.85334;1051.6666667;111111111444;0;25;625;0;0;3;9;;0;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;4
14000037;01;701.0072814;1514.75;444444441111;0;50;2500;1;0;8;4;;0;0;0;1;50;Z:/Ines-dev\pgm\2imputations\imputation ASS;8
14000045;01;822.33153054;780.71428571;444444114111;0;38;1444;1;0;7;4.5555555556;;0;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
14000046;03;1048.8024963;709.42857143;444444411111;0;44;1936;0;0;7;5;;0;0;1;0;44;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000062;01;494.14622864;158;111111111144;1;25;625;2;1;2;1.4294505495;;0;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000072;01;752.94228462;311.5;111111114444;0;43;1849;0;0;4;8;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;43
14000085;02;454.26251628;5871.75;222222224444;1;31;961;2;0;4;0.0196581197;;1;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;7
14000107;01;851.36457597;1571.625;444111144444;1;55;3025;2;1;8;4;;0;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
14000120;01;338.65621729;511.42857143;444444411111;1;42;1764;0;0;7;0.7675213675;;0;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000130;02;383.78539894;906.66666667;444411111441;1;39;1521;1;0;6;6;;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;5
14000134;01;674.28231773;714;411111111111;1;41;1681;0;0;1;11;;1;0;1;0;41;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000148;01;665.25204937;507.7;444444444422;0;47;2209;0;0;10;0;;1;0;1;0;47;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000151;02;520.41628256;1191.4444444;333444444444;1;39;1521;2;0;9;12;;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000169;02;428.06087427;644;111141111111;1;35;1225;0;0;1;11;;1;0;1;0;35;Z:/Ines-dev\pgm\2imputations\imputation ASS;1
14000177;01;885.77062525;708.77777778;444444111444;0;29;841;2;0;9;3;;0;1;0;0;29;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
14000194;04;422.10720644;369.08333333;444444444444;1;31;961;2;1;12;0;;0;0;1;0;31;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000195;01;630.18901528;1440.8333333;441444111141;1;57;3249;14;0;6;6;;1;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;8
14000195;02;630.18901528;961.08333333;444444444444;1;51;2601;2;0;12;0;0;0;0;0;1;51;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
14000201;06;989.50872919;1403.6666667;444111111111;1;25;625;1;1;3;9;;1;1;0;0;25;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000211;05;810.29032019;917;444411144444;0;26;676;2;0;9;3;;1;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
14000221;01;384.32120665;2165.5;555545555554;1;65;4225;1;0;2;0;;1;0;0;1;65;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000226;01;382.63538109;895.55555556;144444444411;0;37;1369;3;0;9;3;1;1;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
14000230;01;459.221158;4065.5;111144111111;1;52;2704;0;0;2;0.3091575092;;0;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
14000248;01;591.27523716;893;444444444444;1;35;1225;4;0;12;0;1;0;0;1;0;35;Z:/Ines-dev\pgm\2imputations\imputation ASS;33
14000250;01;572.37133396;1729;411111111111;1;53;2809;0;1;1;10.820512821;0;0;0;0;1;53;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000264;01;633.10075948;170.27272727;444444444447;1;54;2916;2;1;11;0;;0;0;0;1;54;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000266;01;735.97281345;1667.0909091;444444444447;1;36;1296;2;0;11;0;;0;0;1;0;36;Z:/Ines-dev\pgm\2imputations\imputation ASS;18
14000267;01;723.90072297;680.25;444444441111;0;40;1600;3;0;8;4;;1;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
14000285;01;973.61194943;1658;111111111441;1;45;2025;0;0;2;10;;0;0;1;0;45;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000294;01;374.0924346;371.72727273;944444444444;0;39;1521;2;0;11;2.0837606838;;0;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;18
14000297;01;506.61599764;483.57142857;111174444444;1;38;1444;5;0;7;1.0756043956;;1;0;1;0;38;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
14000300;01;185.500677;602;488888888888;1;57;3249;6;0;1;0;;1;0;0;1;57;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000317;02;519.9259837;341.63636364;444441444444;1;55;3025;3;1;11;1;;0;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
14000323;01;713.67775795;3194;997411111111;1;39;1521;1;0;1;8;;1;0;1;0;39;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000338;06;385.62979793;1324.8;411444431111;1;46;2116;1;0;5;0.5206349206;0;1;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;5
14000347;01;547.09313606;30.6;441444444441;1;33;1089;1;0;10;0.3991452991;;1;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000363;01;376.7221557;917.5;111111111441;1;37;1369;1;0;2;10;0;1;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000369;01;487.46755316;2155.5;114411111111;1;50;2500;2;0;2;7.8247863248;;0;0;0;1;50;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
14000379;02;808.42188307;316.58333333;444444444444;0;40;1600;2;0;12;0;0;1;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
14000387;01;551.08919884;2405.8888889;444444111444;1;55;3025;2;0;9;1.9230769231;;1;0;0;1;55;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
14000392;01;955.34124625;471.16666667;444444444444;0;53;2809;4;0;12;0;1;1;0;0;1;53;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
14000394;01;1898.754388;1326.3333333;111111444444;0;28;784;3;0;6;6;;0;1;0;0;28;Z:/Ines-dev\pgm\2imputations\imputation ASS;18
14000397;01;664.74820012;2179;111144111111;1;27;729;1;0;2;10;0;1;1;0;0;27;Z:/Ines-dev\pgm\2imputations\imputation ASS;1
14000402;02;729.7531381;539.5;444444444444;1;43;1849;5;1;12;0.0102564103;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
14000407;01;819.48247154;1070.8;411111114444;0;30;900;2;1;5;7;0;1;0;1;0;30;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
