ident;noi;wpela15;couple;chom_mens;nbmois_sal;cal0;age;duree_ss_emploi;etudes_sup;bac_plusdeux;bac;cap_brevet;pas_diplome;nbmois_cho;ass;sexe;moins_30
13001154;01;712.96183602;1;1510.5555556;0.3241524068;411444444441;31;1;0;0;1;0;0;9;;1;0
13001189;01;1694.5305867;0;1601.6666667;0;444444444444;30;0;0;0;1;0;0;12;;1;0
13001208;02;396.27615219;1;929.71428571;5;111114444444;34;0;0;0;0;1;0;7;;1;0
13001231;01;264.47081091;0;539.33333333;3;111444333333;35;2;0;0;1;0;0;3;;0;0
13001298;02;364.93847088;0;450.215;2;444411444444;58;7;0;0;0;1;0;10;;0;0
13001302;01;6804.253787;0;916;6;444447111111;30;1;0;0;0;1;0;5;;1;0
13001342;02;488.91859911;1;434.97;2;114444444444;32;0;0;0;1;0;0;10;;1;0
13001346;02;1019.9954621;1;950.58333333;0;444444444444;52;2;0;0;0;0;1;12;0;1;0
13001347;01;1284.5487693;0;450.215;2;444444444411;37;1;0;0;1;0;0;10;;1;0
13001361;01;358.18704086;0;846;3;111444444444;41;2;0;0;0;1;0;9;;0;0
13001378;01;718.56845584;0;984.16666667;0;444444444444;58;3;0;0;0;1;0;12;0;1;0
13001378;02;718.56845584;0;420.00416667;0.7699050257;444444444444;52;2;0;0;0;0;1;12;1;0;0
13001401;02;1035.3594803;0;947;8;111111444411;27;0;0;0;0;0;1;4;;1;1
13001422;01;830.02755789;1;1108;10;111111111144;34;0;0;1;0;0;0;2;;0;0
13001502;01;321.12918707;0;505.28571429;5;444444411111;44;1;0;0;0;0;1;7;0;1;0
13001539;01;363.61684292;1;496.00416667;0;444444444444;45;6;0;0;0;1;0;12;;1;0
13001553;01;940.65134602;0;399.5962963;1.1522739646;411144444444;27;0;0;0;0;1;0;9;1;0;1
13001558;01;468.494833;0;1274.1428571;0.4174317277;112224444444;41;2;0;0;1;0;0;7;;0;0
13001571;02;450.45778758;1;1163;4;411114444444;35;0;0;0;0;0;1;8;;0;0
13001577;01;1012.1616798;0;440.88888889;3;444444411144;31;1;0;0;1;0;0;9;;0;0
13001579;02;627.37839694;1;515.14285714;2.6826109115;144444441111;40;1;0;0;0;0;1;7;;0;0
13001607;01;808.41651715;1;1415.4166667;2.1598677901;444444444444;38;2;0;0;0;0;1;12;0;1;0
13001615;02;484.29132596;1;883.18181818;0.3505048607;444144444444;22;1;0;0;0;1;0;11;0;0;1
13001623;04;497.15300452;0;868;5.8952727679;111111114444;25;0;0;0;0;1;0;4;;0;1
13001623;05;497.15300452;0;1449.9;11;111111111114;25;0;0;0;0;1;0;1;;1;1
13001648;02;435.67108604;1;1125.6;2;444444444411;23;1;0;0;0;1;0;10;0;1;1
13001664;01;299.33550891;0;375.18857143;6.8921140049;111144111444;49;2;0;0;0;1;0;5;;0;0
13001673;01;1027.4413554;0;496.00416667;0;444444444444;39;3;1;0;0;0;0;12;;1;0
13001705;01;324.82533995;1;426.66666667;3;444444444111;59;1;0;0;0;1;0;9;;1;0
13001765;01;529.97571964;0;516.91363636;0.2221873564;144444444444;54;2;0;0;0;0;1;11;1;0;0
13001792;01;376.06178595;0;483.3;0;777444444444;48;2;0;0;0;0;1;9;;0;0
13001798;01;404.61727965;0;948.625;4;144411144444;24;2;0;0;0;1;0;8;;0;1
13001838;01;531.56347595;1;362.475;7.2436030842;111111114444;58;5;0;0;0;0;1;4;;0;0
13001860;01;1405.3980196;0;274.44444444;3.4671561894;444444999444;41;0;0;0;0;0;1;9;;1;0
13001992;01;372.31176278;1;2321;3.3801758677;447771111111;29;1;0;0;1;0;0;2;;0;1
13002056;01;651.06840734;1;995.83333333;0;444444444444;32;2;0;0;1;0;0;12;0;1;0
13002091;01;584.18198452;0;496.00416667;0;444444444444;42;2;0;0;0;1;0;12;;0;0
13002107;02;770.32276231;1;391.8375;1.0532369646;444444444444;44;2;0;0;0;0;1;12;;1;0
13002109;01;1248.2819105;0;496.00416667;0;444444444444;44;12;1;0;0;0;0;12;1;1;0
13002119;01;601.23581517;0;454.0875;0.4237061215;444444444444;51;3;0;0;0;0;1;12;;1;0
13002140;01;906.79144551;0;781.88888889;3;441114444444;56;2;0;0;0;0;1;9;;0;0
13002159;01;449.07996881;0;528.25;0;444432223333;19;0;0;0;1;0;0;4;;1;1
13002202;01;1229.4412121;0;1691.3333333;4.1595539977;444444444444;60;1;0;0;0;0;1;12;;1;0
13002202;02;1229.4412121;0;496.00416667;0;444444444444;50;3;0;0;0;1;0;12;;0;0
13002205;01;589.01726341;0;635.25;4;144444444111;35;1;0;0;0;1;0;8;;0;0
13002206;01;1052.2740108;0;1310.25;5.9518653393;111111114444;28;0;0;0;1;0;0;4;;0;1
13002206;02;1052.2740108;0;347.615;1.7292721382;144444444441;32;1;0;0;0;1;0;10;;1;0
13002209;01;587.11875425;0;480.8375;0.1532920521;444444444444;36;2;0;0;0;1;0;12;;0;0
13002318;01;563.54044705;0;364.25416667;1.3357077123;444444444444;58;2;0;0;0;0;1;12;;1;0
13002335;01;1075.7346355;0;497.15909091;0;944444444444;53;3;0;0;1;0;0;11;1;0;0
13002373;03;622.27002458;0;520.14285714;1.9316520946;944444441111;26;1;0;0;1;0;0;7;0;0;1
13002399;01;627.87720756;0;4128.6666667;0.456431391;333444333777;36;2;0;0;1;0;0;3;;1;0
13002404;01;587.38352963;0;500.23888889;0;477744444444;58;6;0;0;0;0;1;9;1;0;0
13002444;01;467.61227612;0;496.00416667;0;444444444444;44;3;0;0;0;1;0;12;;1;0
13002451;01;900.12859479;0;1344;2;114444444444;59;1;1;0;0;0;0;10;0;1;0
13002451;02;900.12859479;0;1344;2;114444444444;60;1;1;0;0;0;0;10;0;0;0
13002457;01;428.31577112;0;496.00416667;0;444444444444;47;3;0;0;0;1;0;12;;0;0
13002459;02;459.24538306;0;1449.9;4.7198204545;111111111114;55;0;0;0;0;1;0;1;;0;0
13002464;01;750.81611303;0;899.66666667;0.5614967301;444444444444;50;2;0;0;0;0;1;12;0;1;0
13002504;01;528.15054072;0;1335;0;444444444444;45;3;0;1;0;0;0;12;0;0;0
13002526;01;999.96140355;1;595.205;2;444444441144;30;2;0;0;0;1;0;10;1;1;0
13002527;01;838.05653788;1;667.41666667;0;444444444444;34;2;0;0;0;1;0;12;;0;0
13002562;02;387.56501578;1;508.70833333;0;488899944444;54;4;0;0;0;0;1;6;;1;0
13002571;01;660.63412658;0;1389.4444444;0.1019650504;221444444444;44;2;0;0;1;0;0;9;;0;0
13002574;02;557.92990216;1;742.5;4;111444441444;57;0;0;0;0;0;1;8;;0;0
13002585;01;463.53816061;0;80;1.3149160937;111111114444;39;0;0;0;0;0;1;4;0;0;0
13002591;01;216.72602021;0;483.3;0;888884444444;59;3;0;0;0;0;1;7;;1;0
13002593;03;592.76493052;0;3052.5;4;111144444444;52;0;0;1;0;0;0;8;;0;0
13002594;01;931.44204931;0;337.5;5.3729725448;111141441411;26;1;0;0;1;0;0;4;;1;1
13002597;01;815.24824538;0;1891;5;899911111444;28;1;0;0;0;1;0;3;;1;1
13002622;01;684.46629815;0;496.00416667;0;444444444444;47;2;0;0;0;1;0;12;;0;0
13002659;01;1608.456935;1;424.36818182;1;144444444444;51;0;0;0;1;0;0;11;;1;0
13002679;01;652.57764118;1;845.33333333;3;444444444111;35;0;0;0;1;0;0;9;;1;0
