"proba_ass";"ident";"noi";"wpela15"
0.0168;"13000009";"2";534.31682825
0.0664;"13000026";"2";512.88414474
8e-04;"13000026";"3";512.88414474
0.0488;"13000032";"1";811.5402528
0.8596;"13000077";"1";392.83499306
0.0584;"13000083";"1";716.17557659
0.3928;"13000083";"2";716.17557659
0.9904;"13000109";"1";583.33805626
0.3176;"13000110";"2";544.32588407
0.2896;"13000115";"1";564.87869319
0.0484;"13000122";"1";364.22269886
0.3684;"13000174";"1";537.10731212
0.2172;"13000191";"1";2309.1015446
0.9268;"13000201";"1";802.69290122
0.0028;"13000246";"2";540.99344702
0.1556;"13000282";"2";378.23016558
0.0208;"13000289";"1";382.21530326
0.0508;"13000329";"1";998.32416901
0.4264;"13000366";"1";500.75686546
0.0628;"13000367";"2";719.11177648
0.5572;"13000376";"1";514.81274
0.9652;"13000383";"1";779.46052145
0.2164;"13000427";"2";366.64713689
0.048;"13000442";"1";1098.2134411
0.1864;"13000464";"1";1486.9674936
0.4648;"13000490";"1";530.00896486
0.3248;"13000503";"1";645.84617697
0.016;"13000506";"1";728.02221255
0.1064;"13000538";"1";649.34519137
0.1472;"13000566";"1";922.99620465
0.7436;"13000593";"1";371.96686169
0.4408;"13000593";"2";371.96686169
0.112;"13000595";"1";642.70622166
0.4884;"13000664";"1";1109.3700199
0.7256;"13000726";"2";853.42659235
0.1336;"13000843";"1";483.40788051
0.7276;"13000852";"2";345.28878495
0.1488;"13000855";"1";623.76946346
0.0976;"13000900";"1";890.53638365
0.1316;"13000986";"1";572.59503428
0.2264;"13000997";"2";562.37602815
0.2968;"13001010";"2";296.63035021
0.9756;"13001039";"1";1233.3587229
0.1568;"13001056";"1";462.27901003
0.004;"13001096";"1";425.20033581
0.4084;"13001105";"2";573.51439252
0.0916;"13001150";"1";224.19362893
0.068;"13001154";"1";740.07332268
0.036;"13001189";"1";1705.7991859
0.0096;"13001208";"2";398.2763684
0.0068;"13001231";"1";262.35211353
0.6732;"13001298";"2";375.49021235
0.0032;"13001302";"1";6880.3844594
0.176;"13001342";"2";491.62587352
0.0476;"13001347";"1";1298.5108667
0.0292;"13001361";"1";359.28103096
0.0224;"13001401";"2";1045.7983119
