ALCT;ident;noi;wpela16;couple;chom_mens;nbmois_sal;cal0;anref;anleg;age;duree_ss_emploi;pas_diplome;nbmois_cho;ass;sexe;moins_30
;14000520;01;737.56975183;1;562.33333333;0;444444444444;2014;2015;44;4;0;12;;0;0
;14000521;02;498.67377525;1;1194.75;8;444411111111;2014;2015;34;1;0;4;;1;0
;14000524;01;376.40126686;1;468;7;444441111111;2014;2015;31;1;0;5;;0;0
1;14000526;01;1487.5919498;0;7139;7;441111119991;2014;2015;35;1;0;2;0;1;0
1;14000526;02;1487.5919498;0;4316;7;441111119991;2014;2015;37;1;0;2;0;0;0
1;14000535;01;703.04688105;0;3952.5;0;333333333344;2014;2015;19;2;0;2;0;0;1
1;14000540;01;698.05330589;0;1846.1666667;6.511965812;444444444444;2014;2015;51;3;0;12;0;1;0
;14000548;01;713.26199351;1;443;10;441111111111;2014;2015;44;1;0;2;;1;0
;14000554;01;869.80794057;1;1691.5;4.6264957265;444444111111;2014;2015;32;1;0;6;;0;0
1;14000559;01;473.31945742;0;1650.3333333;9;444111111111;2014;2015;49;1;0;3;0;0;0
;14000568;01;354.35174636;0;785.45454545;1;144444444444;2014;2015;57;3;1;11;;1;0
1;14000575;01;301.16794396;1;8024;7.5575091575;441111111111;2014;2015;51;1;0;2;0;1;0
;14000591;02;531.55342619;1;2503.4545455;1;144444444444;2014;2015;40;2;0;11;;1;0
;14000599;01;503.42832765;1;63.714285714;1.5030525031;441111144444;2014;2015;21;1;0;7;;0;1
;14000600;01;756.54062936;0;25.166666667;0;444444444444;2014;2015;48;6;1;12;;1;0
;14000614;03;398.10722507;0;411.5;7.2914529915;441111111111;2014;2015;52;1;0;2;;1;0
;14000618;01;586.6922054;1;495.5;6;444444111111;2014;2015;45;1;1;6;;0;0
;14000627;01;435.37407884;0;487.33333333;5;111114344444;2014;2015;48;2;0;6;;1;0
;14000627;02;435.37407884;0;593;8;111111114444;2014;2015;31;2;0;4;;0;0
;14000629;01;638.54152394;0;963.33333333;0.0290598291;444999444444;2014;2015;43;2;1;9;;0;0
;14000638;02;258.94419857;1;2338;10;111114411111;2014;2015;35;1;0;2;;0;0
;14000642;01;395.72214807;0;1239.25;6;111111433444;2014;2015;45;2;0;4;;0;0
1;14000671;02;595.70016315;1;1579.3333333;8.0487179487;444111111111;2014;2015;39;11;0;3;0;0;0
1;14000676;01;237.7150622;1;1039;6;144444411111;2014;2015;62;1;1;6;0;1;0
;14000678;01;1075.7925156;1;1346.7142857;5;444111114444;2014;2015;38;1;0;7;;0;0
1;14000689;01;932.74634049;1;4696.6666667;9;114441111111;2014;2015;42;1;0;3;0;0;0
;14000690;02;468.92096358;1;245;6.0282051282;441111111111;2014;2015;30;1;0;2;;0;0
;14000699;01;243.8621567;1;1245;9;111111111444;2014;2015;32;2;0;3;;1;0
2;14000702;01;833.97099969;1;516.09090909;0;944444444444;2014;2015;61;3;0;11;1;1;0
;14000724;02;486.23812653;1;624.4;7;444441111111;2014;2015;28;1;1;5;;1;1
;14000726;01;358.29176385;1;931.33333333;9;111444111111;2014;2015;30;1;0;3;;1;0
;14000735;01;621.50276861;0;534.16666667;6;441111114444;2014;2015;23;1;0;6;;1;1
;14000766;01;602.19416152;1;3076;11;114111111111;2014;2015;26;1;0;1;;1;1
;14000774;01;728.16431838;0;476.5;0;444444444444;2014;2015;42;5;1;12;;0;0
;14000774;02;728.16431838;0;651.16666667;3.3367521368;444444444444;2014;2015;40;2;1;12;;1;0
;14000790;01;628.42409452;1;1490.25;0;444444444444;2014;2015;41;2;0;12;;0;0
;14000796;02;610.13227826;1;1101;10;441111111111;2014;2015;29;1;0;2;;0;1
1;14000797;01;576.74988762;1;82;11;411111111111;2014;2015;35;1;0;1;0;0;0
;14000818;01;259.15061094;1;952.33333333;9;444111111111;2014;2015;47;1;0;3;;0;0
;14000824;01;1269.5397929;0;518.71428571;0;444444488888;2014;2015;55;5;1;7;;1;0
;14000825;01;1004.3559908;1;436;8;144111111441;2014;2015;26;2;0;4;;0;1
;14000826;01;1325.4718861;0;479.5;6.26;441111111111;2014;2015;49;1;0;2;;0;0
;14000828;01;526.23956191;0;302.1;1.9102564103;144414444444;2014;2015;42;2;1;10;;0;0
;14000830;02;657.8012631;1;569;4;111144444444;2014;2015;35;1;1;8;;1;0
;14000831;01;574.33675691;1;508;8;111114444111;2014;2015;30;1;0;4;;1;0
;14000845;01;683.47439019;0;674.6;2.4478632479;111111144444;2014;2015;50;9;1;5;;1;0
