ident;noi;wpela17;chom_mens;cal0;couple;age;age2;duree_ss_emploi;pas_diplome;nbmois_cho;nbmois_sal;ass;sexe;moins_30;entre_30_50;entre_50_65;AG;chemin_ass;nbmoischo_ant
15000354;02;577.63792103;1218.6;444444444411;1;61;3721;1;0;10;2;;0;0;0;1;61;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15000377;01;695.9628438;479.66666667;444444444444;0;37;1369;4;1;12;0;1;1;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;24
15000390;02;436.25561702;599.22222222;114444414444;1;40;1600;1;1;9;3;;1;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000393;01;449.47811761;757.75;411114444444;0;52;2704;0;0;8;3.9872557349;;1;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;30
15000396;02;509.84110399;405.90909091;444444444441;1;52;2704;1;0;11;1;0;0;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000399;01;598.51734493;660.33333333;144444444411;0;34;1156;1;0;9;3;;1;0;1;0;34;Z:/Ines-dev\pgm\2imputations\imputation ASS;8
15000400;01;550.60996374;517.08333333;444444444444;0;48;2304;2;1;12;12;1;1;0;1;0;48;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
15000419;01;534.51650634;135.66666667;444444444444;1;52;2704;36;1;12;0;;0;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000429;02;597.82144513;226.72727273;944444444444;1;47;2209;6;1;11;12;;1;0;1;0;47;Z:/Ines-dev\pgm\2imputations\imputation ASS;60
15000460;06;413.90287855;598;411111111111;1;37;1369;0;0;1;11;;0;0;1;0;37;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000469;01;427.32238348;7761;111142222222;1;33;1089;1;0;1;4;;1;0;1;0;33;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000471;01;980.67398627;1253;444111111111;1;54;2916;0;1;3;9;0;1;0;0;1;54;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000475;02;277.11442298;1166.75;111111114444;1;40;1600;2;0;4;8;;0;0;1;0;40;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000476;02;402.62883366;547.6;444411444444;1;52;2704;3;0;10;2;1;1;0;0;1;52;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
15000480;01;452.90735626;22.25;444111144444;1;45;2025;1;0;8;4;0;0;0;1;0;45;Z:/Ines-dev\pgm\2imputations\imputation ASS;3
15000487;01;575.9222389;789.83333333;111444111444;1;46;2116;1;0;6;6;;1;0;1;0;46;Z:/Ines-dev\pgm\2imputations\imputation ASS;18
15000487;02;575.9222389;3294;444111111111;1;43;1849;0;0;3;8.6941376381;;0;0;1;0;43;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000490;01;377.30653135;399.3;114444444444;0;44;1936;1;1;10;2;0;1;0;1;0;44;Z:/Ines-dev\pgm\2imputations\imputation ASS;6
15000490;02;377.30653135;180.375;914414444441;0;51;2601;3;0;8;3;0;0;0;0;1;51;Z:/Ines-dev\pgm\2imputations\imputation ASS;2
15000497;01;304.49680205;836.44444444;114444444449;1;58;3364;2;0;9;2;0;0;0;0;1;58;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000501;01;405.08993017;7254.5;441111111111;1;51;2601;1;0;2;10;;1;0;0;1;51;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000505;01;500.79797796;119.75;444444444444;1;27;729;0;0;12;12;;1;1;0;0;27;Z:/Ines-dev\pgm\2imputations\imputation ASS;72
15000505;02;500.79797796;467.41666667;444444444444;1;27;729;2;0;12;12;;0;1;0;0;27;Z:/Ines-dev\pgm\2imputations\imputation ASS;0
15000530;03;323.59982218;4;411111114444;0;26;676;1;0;5;7;;1;1;0;0;26;Z:/Ines-dev\pgm\2imputations\imputation ASS;36
15000543;01;603.07699205;806.25;444444444444;0;42;1764;2;0;12;0;;1;0;1;0;42;Z:/Ines-dev\pgm\2imputations\imputation ASS;12
