"proba_ass";"ident";"noi";"wpela17"
0.0228;"15000063";"1";728.99687141
0.1308;"15000069";"2";594.25736157
0.3392;"15000072";"2";505.07138013
0.1256;"15000093";"1";523.12158304
0.0468;"15000104";"1";368.95407513
0.0688;"15000120";"1";426.07843221
0.2276;"15000126";"1";543.09700343
0.2732;"15000127";"1";485.86772376
0.7352;"15000129";"1";448.99426104
0.024;"15000148";"2";910.89064357
0.0504;"15000150";"1";567.94659443
0.0016;"15000152";"1";490.75700706
0.0268;"15000152";"2";490.75700706
0.0548;"15000168";"3";339.71717972
0.0412;"15000171";"2";572.0570173
0.2816;"15000209";"1";590.35659361
0.0204;"15000242";"1";885.09993862
0.0508;"15000252";"1";1128.3404724
0.1868;"15000255";"2";285.34320275
0.0944;"15000262";"1";436.82214752
0.1696;"15000268";"1";749.54820503
0.0384;"15000281";"2";476.09553277
0.4072;"15000310";"1";649.06216576
0.042;"15000315";"2";837.96279582
0.0344;"15000346";"1";502.6787456
0.2596;"15000347";"1";624.87196774
0.1096;"15000354";"2";577.63792103
0.178;"15000390";"2";436.25561702
0.5208;"15000393";"1";449.47811761
0.1512;"15000399";"1";598.51734493
0.7108;"15000419";"1";534.51650634
0.9008;"15000429";"2";597.82144513
0.1108;"15000460";"6";413.90287855
0.0344;"15000469";"1";427.32238348
0.0384;"15000475";"2";277.11442298
0.0292;"15000487";"1";575.9222389
0.04;"15000487";"2";575.9222389
0.0076;"15000501";"1";405.08993017
0.452;"15000505";"1";500.79797796
0.2272;"15000505";"2";500.79797796
0.1188;"15000530";"3";323.59982218
0.2744;"15000543";"1";603.07699205
0.3196;"15000550";"2";414.90148475
0.2528;"15000559";"2";408.66217334
0.0136;"15000576";"2";358.69372435
0.2564;"15000580";"2";377.9755685
0.0028;"15000593";"1";1054.8848784
0.022;"15000615";"2";497.20452211
0.1052;"15000628";"1";484.05074304
0.0984;"15000659";"1";645.34815904
0.0404;"15000670";"1";531.62163612
0.0548;"15000677";"1";361.84750591
0.0624;"15000685";"1";1727.5785373
0.0232;"15000687";"2";465.72409617
0.056;"15000695";"3";284.04475799
0.0084;"15000701";"1";2285.9442976
0.2712;"15000707";"1";674.10621167
0.0352;"15000708";"1";484.77322603
0.724;"15000711";"1";244.15570986
0.0492;"15000711";"2";244.15570986
0.1256;"15000712";"1";587.84907046
0.088;"15000712";"2";587.84907046
0.0396;"15000723";"1";532.88850058
0.814;"15000737";"1";649.61959284
0.0352;"15000748";"1";1214.8982871
0.1588;"15000799";"1";508.2151144
0.0328;"15000806";"1";638.68610183
0.1724;"15000815";"1";1246.5367882
0.0728;"15000830";"2";551.6722513
0.1632;"15000835";"2";260.74090423
0.0856;"15000843";"2";1294.5730398
0.042;"15000846";"2";915.24877231
0.0304;"15000855";"1";841.56077889
0.1264;"15000884";"1";207.65740213
0.0192;"15000884";"2";207.65740213
0.2344;"15000907";"1";782.92008601
0.0172;"15000908";"3";1444.1225479
0.642;"15000910";"2";481.48871507
0.3028;"15000924";"1";226.2561788
0.3008;"15000959";"1";523.03251642
0.552;"15000961";"2";621.53905767
0.0796;"15000964";"1";725.82653936
0.0728;"15000973";"2";447.3340207
0.1028;"15000978";"1";454.87294473
0.1088;"15000988";"1";360.82114741
0.1392;"15000989";"1";464.31049285
0.0976;"15000994";"2";514.00155077
0.0344;"15000997";"2";171.58865184
0.0684;"15001016";"1";1009.1429744
0.006;"15001036";"1";3400.4827629
0.0696;"15001043";"1";807.05030203
0.2152;"15001044";"1";414.7504489
0.1588;"15001049";"2";651.50853911
0.2088;"15001055";"2";650.45341111
0.0116;"15001056";"1";424.42245726
0.0856;"15001073";"1";363.57435158
0.0236;"15001081";"3";238.40941566
0.2792;"15001086";"2";390.80109398
0.1596;"15001090";"2";557.25466138
0.048;"15001103";"2";595.71478314
0.942;"15001131";"4";636.54485379
0.26;"15001139";"2";567.81017268
0.074;"15001145";"3";349.61545488
0.1148;"15001150";"2";877.0358245
0.1584;"15001152";"2";330.4171175
0.0572;"15001156";"1";309.16530782
0.008;"15001220";"3";651.96958128
0.2988;"15001276";"1";2536.5810156
0.4252;"15001293";"2";779.60336552
0.062;"15001311";"2";212.01746909
0.138;"15001312";"1";1225.6153211
0.0264;"15001313";"2";685.67102106
0.1908;"15001327";"1";548.28704774
0.3252;"15001330";"2";1145.332353
0.0188;"15001355";"2";495.0987622
0.0784;"15001359";"1";527.19981445
0.9616;"15001363";"2";425.86250928
0.1896;"15001366";"1";232.3465134
0.0316;"15001372";"1";705.70420794
0.0028;"15001372";"2";705.70420794
0.3608;"15001375";"1";421.33119944
0.0316;"15001377";"1";1189.940033
0.244;"15001421";"1";1003.0739802
0.0836;"15001425";"1";677.43297427
0.022;"15001449";"2";331.86871723
0.1384;"15001459";"3";1276.879624
0.1596;"15001470";"1";1918.9649951
0.088;"15001476";"2";488.29216341
0.5928;"15001486";"2";581.94999417
0.0776;"15001491";"2";779.56989565
0.0132;"15001496";"1";394.71665941
0.0316;"15001513";"1";924.50701962
0.9848;"15001530";"2";511.77737758
0.2992;"15001536";"1";567.03287708
0.7068;"15001539";"1";411.9784203
0.0424;"15001542";"1";496.20320317
0.016;"15001542";"2";496.20320317
0.1204;"15001545";"2";402.63323493
0.8468;"15001553";"1";685.99938231
0.012;"15001553";"2";685.99938231
0.026;"15001567";"1";176.25100531
0.028;"15001599";"2";664.44941978
0.516;"15001600";"1";291.47518278
0.0068;"15001603";"1";361.49834479
0.0348;"15001604";"1";620.53106952
0.056;"15001624";"1";462.19609287
0.1948;"15001627";"1";379.1398536
0.0464;"15001663";"2";401.68869173
0.8268;"15001668";"1";645.61740491
0.5904;"15001674";"2";302.87227416
0.126;"15001679";"1";641.07576766
0.2268;"15001683";"1";901.67765189
0.2532;"15001733";"1";537.75365456
0.0184;"15001741";"1";526.67706895
0.0644;"15001744";"2";515.49752659
0.7428;"15001785";"1";376.42442473
0.0576;"15001786";"1";342.96640745
0.6852;"15001817";"1";742.70170249
0.0168;"15001851";"3";505.53062388
0.182;"15001865";"2";616.09857321
0.0212;"15001868";"2";349.65090442
0.0356;"15001892";"1";1090.1193649
0.0256;"15001903";"1";476.53861877
0.4992;"15001911";"1";406.37596304
0.0172;"15001912";"1";807.58576792
0.0068;"15001920";"1";900.30137439
0.0312;"15001931";"1";569.10184306
0.0708;"15001933";"2";1076.3284497
0.2144;"15001936";"1";867.39644116
0.3164;"15001947";"2";867.78094058
0.2592;"15001963";"2";320.6374838
0.5632;"15001984";"1";407.88904309
0.1276;"15001986";"2";336.61754001
0.124;"15001990";"1";384.11697809
0.1208;"15001994";"1";773.35245914
0.26;"15002004";"3";416.43888316
0.0412;"15002009";"2";400.16790704
0.1108;"15002010";"1";765.06734437
0.9716;"15002011";"1";767.17693105
0.0296;"15002013";"1";940.47192878
0.0668;"15002026";"3";391.63324707
0.1968;"15002028";"1";629.6453224
0.0288;"15002050";"2";449.68382577
0.036;"15002057";"1";878.97096142
0.1252;"15002070";"2";854.38671614
0.102;"15002085";"1";255.1875011
0.0668;"15002086";"2";208.59977809
0.2956;"15002090";"1";105.9061899
0.3068;"15002091";"1";577.56928552
0.1484;"15002100";"1";675.91639978
0.0364;"15002108";"1";312.98134004
0.0184;"15002108";"2";312.98134004
0.028;"15002114";"2";318.37116424
0.0256;"15002116";"1";621.7514117
0.3972;"15002150";"3";507.90982921
0.2216;"15002152";"1";861.21079938
0.1064;"15002169";"1";1246.7086198
0.182;"15002173";"1";1019.0247669
0.0308;"15002190";"1";281.42788149
0.6812;"15002190";"3";281.42788149
0.0568;"15002215";"2";677.53267699
0.1456;"15002240";"1";440.75852658
0.0772;"15002265";"1";568.9235841
0.002;"15002277";"1";1035.6196856
0.0876;"15002278";"1";513.90222477
0.1392;"15002282";"2";427.98261819
0.518;"15002285";"1";629.76996733
0;"15002296";"1";1351.6096157
0.4076;"15002299";"2";435.1607856
0.0384;"15002321";"1";935.49324393
0.1156;"15002322";"1";135.30258966
0.0744;"15002331";"1";704.77750406
0.1172;"15002350";"1";692.11540121
0.2924;"15002353";"1";490.94774474
0.4756;"15002353";"2";490.94774474
0.0308;"15002359";"1";229.57333791
0.2132;"15002359";"2";229.57333791
0.1628;"15002362";"2";567.73073288
0.6204;"15002374";"3";451.53645891
0.0012;"15002390";"1";423.37535998
0.23;"15002414";"1";483.3910958
0.0308;"15002416";"1";957.6058498
0.2696;"15002422";"2";524.00507982
0.0084;"15002424";"1";626.79253155
0.0784;"15002433";"1";501.60630186
0.0104;"15002437";"1";841.08788146
0.054;"15002446";"1";690.50631689
0.098;"15002452";"1";606.44614385
0.0124;"15002455";"1";596.21754561
0.0476;"15002463";"2";302.25262061
0.16;"15002473";"2";552.73676734
0.13;"15002479";"1";424.64806077
0.3576;"15002497";"1";565.93859802
0.3988;"15002517";"1";902.99641358
0.6484;"15002522";"1";515.20859801
0.0944;"15002534";"2";659.51071685
0.3388;"15002559";"2";271.9174462
0.4332;"15002565";"3";580.94714729
0.214;"15002579";"2";1082.716537
4e-04;"15002583";"1";377.01067375
0.014;"15002594";"2";3150.8982628
0.2468;"15002608";"1";445.35948062
0.0256;"15002611";"1";551.1828526
0.0048;"15002619";"1";274.71395925
0.0184;"15002634";"3";1215.8751729
0.422;"15002646";"2";524.41380027
0.1468;"15002666";"1";907.16127102
0.0472;"15002675";"1";454.19027781
0.1748;"15002687";"1";385.34202816
0.0744;"15002694";"1";244.13801842
0.162;"15002703";"1";466.44079357
0.7264;"15002704";"1";495.17436647
0.0812;"15002716";"2";319.50857404
0.0532;"15002725";"2";239.28300386
0.7324;"15002733";"1";331.27472156
0.0068;"15002740";"2";754.25354058
0.348;"15002745";"1";511.33284171
0.1808;"15002762";"2";312.04085642
0.1244;"15002765";"2";438.66896769
0.0192;"15002776";"3";210.76166704
0.0756;"15002797";"2";410.2096558
0.0176;"15002798";"1";738.49682061
0.108;"15002839";"2";95.705319985
0.0628;"15002844";"1";476.69003458
0.1052;"15002859";"1";568.31980077
0.024;"15002880";"2";909.01142113
0.1012;"15002910";"1";378.2931972
0.6812;"15002915";"1";291.38114364
